///   6
@file   1
fileout.cc   1
@author   1
lemon(haohb13@gmail.com)   1
@date   1
2018-02-27   1
19:23:49   1
#include   5
<iostream>   1
<fstream>   1
<sstream>   1
<string>   1
<vector>   1
using   8
std::cout;   1
std::endl;   1
std::cin;   3
std::string;   1
std::ifstream;   1
std::ofstream;   1
std::fstream;   1
std::vector;   2
vector<string>   1
lines;   3
typedef   1
struct   1
_link   1
//定义链表存储不重复的单词   1
{   3
char   1
*   1
ch;   1
int   1
num;   1
_link*   1
next;   1
}link;   4
void   1
test1(void)   1
ifstream   1
ifs;   1
ifs.open("zy.cc");   1
if(!ifs)   1
cout   1
<<   2
"ifstream   1
open   1
error!"   1
endl;   1
return;   1
}   2
//string   1
word;   1
string   1
line;   1
//   2
test1();   1
test2();   2
WordStatistic::readFile();   1
return   1
0;   1
